regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
CAP_AND_TRADE,0.95,0.01,c,0.00289381122714227,0.00347087825577519,10,0.0694278147230585,NaN
CAP_AND_TRADE,0.95,0.01,iv,0.00552248881563544,0.00552248881563544,0,0.0577167023876417,9
CAP_AND_TRADE,0.95,0.01,l,0.000389868569103557,0.000389868569103557,0,0.000979562795932504,4
CAP_AND_TRADE,0.95,0.01,mc,0.000184009913753558,0.000184009913753558,0,0.00162742704772267,8
CAP_AND_TRADE,0.95,0.01,pie,0.000113038772692864,0.000113038772692864,0,8.4530457209353e-05,4
CAP_AND_TRADE,0.95,0.01,z,0,0,0,0,0
CAP_AND_TRADE,0.95,0.01,u,0.00927793410313707,0.00927793410313707,0,0.140161168842897,20
CAP_AND_TRADE,0.95,0.01,pz,0.00474716164601053,0.00474716164601053,0,0.0717150733767403,20
CAP_AND_TRADE,0.95,0.01,rnom,0.000342541735433022,0.000342541735433022,0,0.00025615290063441,4
CAP_AND_TRADE,0.95,0.02,y,0.0171826877772266,0.0171826877772266,0,0.259577787031741,20
CAP_AND_TRADE,0.95,0.02,c,0.00578762245428466,0.00694175651155038,10,0.138855629446117,NaN
CAP_AND_TRADE,0.95,0.02,iv,0.0110449776312709,0.0110449776312709,0,0.115433404775283,9
CAP_AND_TRADE,0.95,0.02,l,0.000779737138207087,0.000779737138207087,0,0.00195912559186492,4
CAP_AND_TRADE,0.95,0.02,mc,0.000368019827507116,0.000368019827507116,0,0.00325485409544513,8
CAP_AND_TRADE,0.95,0.02,pie,0.000226077545385728,0.000226077545385728,0,0.000169060914419261,4
CAP_AND_TRADE,0.95,0.02,z,0,5.55111512312578e-17,1,-1.11022302462516e-15,NaN
CAP_AND_TRADE,0.95,0.02,u,0.0185558682062741,0.0185558682062741,0,0.280322337685795,20
CAP_AND_TRADE,0.95,0.02,pz,0.00949432329202106,0.00949432329202106,0,0.143430146753481,20
CAP_AND_TRADE,0.95,0.02,rnom,0.000685083470866044,0.000685083470866044,0,0.000512305801269264,4
INTENSITY_TARGET,0.85,0.005,y,0.00511698793488324,0.00511698793488324,0,0.0413550962040163,6
INTENSITY_TARGET,0.85,0.005,c,0.000921051399092376,0.00110169107285785,5,0.0203566998564633,NaN
INTENSITY_TARGET,0.85,0.005,iv,0.00418835059576464,0.00418835059576464,0,0.0209370873736842,4
INTENSITY_TARGET,0.85,0.005,l,0.000515314938739686,0.000515314938739686,0,0.00169516825722957,4
INTENSITY_TARGET,0.85,0.005,mc,0.000171868004709586,0.000171868004709586,0,0.000780965196248373,4
INTENSITY_TARGET,0.85,0.005,pie,5.69328556467852e-05,5.69328556467852e-05,0,-0.000240824523086713,2
INTENSITY_TARGET,0.85,0.005,z,0.00188784138057885,0.00188784138057885,0,0.0152573863580042,6
INTENSITY_TARGET,0.85,0.005,u,-2.23625729045551e-10,2.23625729045551e-10,0,-1.80732526167127e-09,6
INTENSITY_TARGET,0.85,0.005,pz,-1.14420667385318e-10,1.14420667385318e-10,0,-9.24738674523695e-10,6
INTENSITY_TARGET,0.85,0.005,rnom,0.000172523804990332,0.000172523804990332,0,-0.000729771282081515,2
INTENSITY_TARGET,0.85,0.01,y,0.0102339758697665,0.0102339758697665,0,0.0827101924080327,6
INTENSITY_TARGET,0.85,0.01,c,0.00184210279818475,0.00220338214571569,5,0.0407133997129268,NaN
INTENSITY_TARGET,0.85,0.01,iv,0.00837670119152928,0.00837670119152928,0,0.0418741747473683,4
